Classifier,Mean recall over 8 folds,Standard Deviation
Random_Forest,0.21775859079659496,0.008649649741711245
XGBoost,0.30100650910640303,0.012045237420804853
SVM,0.8272976216377927,0.010363248472628766
AdaBoost,0.30674411812033686,0.008641454078303712
LR,0.8121532405015094,0.007906491229482587
